zcta10,nameshort
10010,"Murray Hill, Gramercy & Stuyvesant Town"
10011,"Chelsea, Clinton & Midtown Business District"
10012,"Battery Park City, Greenwich Village & Soho"
10013,"Battery Park City, Greenwich Village & Soho"
10014,"Battery Park City, Greenwich Village & Soho"
10016,"Murray Hill, Gramercy & Stuyvesant Town"
10017,"Murray Hill, Gramercy & Stuyvesant Town"
10018,"Chelsea, Clinton & Midtown Business District"
10019,"Chelsea, Clinton & Midtown Business District"
10020,"Chelsea, Clinton & Midtown Business District"
10021,Upper East Side
10022,"Murray Hill, Gramercy & Stuyvesant Town"
10023,Upper West Side & West Side
10024,Upper West Side & West Side
10025,Upper West Side & West Side
10026,Central Harlem
10027,"Hamilton Heights, Manhattanville & West Harlem"
10028,Upper East Side
10029,East Harlem
10030,Central Harlem
10031,"Hamilton Heights, Manhattanville & West Harlem"
10032,"Washington Heights, Inwood & Marble Hill"
10033,"Washington Heights, Inwood & Marble Hill"
10034,"Washington Heights, Inwood & Marble Hill"
10035,East Harlem
10036,"Chelsea, Clinton & Midtown Business District"
10037,Central Harlem
10038,"Battery Park City, Greenwich Village & Soho"
10039,Central Harlem
10040,"Washington Heights, Inwood & Marble Hill"
10044,Upper East Side
10065,Upper East Side
10069,Upper West Side & West Side
10075,Upper East Side
10103,"Chelsea, Clinton & Midtown Business District"
10110,"Chelsea, Clinton & Midtown Business District"
10111,"Chelsea, Clinton & Midtown Business District"
10112,"Chelsea, Clinton & Midtown Business District"
10115,"Hamilton Heights, Manhattanville & West Harlem"
10119,"Chelsea, Clinton & Midtown Business District"
10128,Upper East Side
10152,"Murray Hill, Gramercy & Stuyvesant Town"
10153,"Chelsea, Clinton & Midtown Business District"
10154,"Murray Hill, Gramercy & Stuyvesant Town"
10162,Upper East Side
10165,"Murray Hill, Gramercy & Stuyvesant Town"
10167,"Murray Hill, Gramercy & Stuyvesant Town"
10168,"Murray Hill, Gramercy & Stuyvesant Town"
10169,"Murray Hill, Gramercy & Stuyvesant Town"
10170,"Murray Hill, Gramercy & Stuyvesant Town"
10171,"Murray Hill, Gramercy & Stuyvesant Town"
10172,"Murray Hill, Gramercy & Stuyvesant Town"
10173,"Chelsea, Clinton & Midtown Business District"
10174,"Murray Hill, Gramercy & Stuyvesant Town"
10177,"Chelsea, Clinton & Midtown Business District"
10199,"Chelsea, Clinton & Midtown Business District"
10271,"Battery Park City, Greenwich Village & Soho"
10278,"Battery Park City, Greenwich Village & Soho"
10279,"Battery Park City, Greenwich Village & Soho"
10280,"Battery Park City, Greenwich Village & Soho"
10282,"Battery Park City, Greenwich Village & Soho"
11004,"Queens Village, Cambria Heights & Rosedale"
11005,"Queens Village, Cambria Heights & Rosedale"
11101,Astoria & Long Island City
11102,Astoria & Long Island City
11103,Astoria & Long Island City
11104,Sunnyside & Woodside
11105,Astoria & Long Island City
11106,Astoria & Long Island City
11109,Sunnyside & Woodside
11351,"Flushing, Murray Hill & Whitestone"
11354,"Flushing, Murray Hill & Whitestone"
11355,"Flushing, Murray Hill & Whitestone"
11356,"Flushing, Murray Hill & Whitestone"
11357,"Flushing, Murray Hill & Whitestone"
11358,"Flushing, Murray Hill & Whitestone"
11359,"Flushing, Murray Hill & Whitestone"
11360,"Flushing, Murray Hill & Whitestone"
11361,"Bayside, Douglaston & Little Neck"
11362,"Bayside, Douglaston & Little Neck"
11363,"Bayside, Douglaston & Little Neck"
11364,"Bayside, Douglaston & Little Neck"
11365,"Briarwood, Fresh Meadows & Hillcrest"
11366,"Briarwood, Fresh Meadows & Hillcrest"
11367,"Briarwood, Fresh Meadows & Hillcrest"
11368,Elmhurst & South Corona
11369,Jackson Heights & North Corona
11370,Jackson Heights & North Corona
11371,Jackson Heights & North Corona
11372,Jackson Heights & North Corona
11373,Elmhurst & South Corona
11374,Forest Hills & Rego Park
11375,Forest Hills & Rego Park
11377,Sunnyside & Woodside
11378,"Ridgewood, Glendale & Middle Village"
11379,"Ridgewood, Glendale & Middle Village"
11385,"Ridgewood, Glendale & Middle Village"
11411,"Queens Village, Cambria Heights & Rosedale"
11412,"Jamaica, Hollis & St. Albans"
11413,"Queens Village, Cambria Heights & Rosedale"
11414,Howard Beach & Ozone Park
11415,Richmond Hill & Woodhaven
11416,Richmond Hill & Woodhaven
11417,Howard Beach & Ozone Park
11418,Richmond Hill & Woodhaven
11419,Howard Beach & Ozone Park
11420,Howard Beach & Ozone Park
11421,Richmond Hill & Woodhaven
11422,"Queens Village, Cambria Heights & Rosedale"
11423,"Jamaica, Hollis & St. Albans"
11424,Richmond Hill & Woodhaven
11426,"Queens Village, Cambria Heights & Rosedale"
11427,"Queens Village, Cambria Heights & Rosedale"
11428,"Queens Village, Cambria Heights & Rosedale"
11429,"Queens Village, Cambria Heights & Rosedale"
11430,Howard Beach & Ozone Park
11432,"Briarwood, Fresh Meadows & Hillcrest"
11433,"Jamaica, Hollis & St. Albans"
11434,"Jamaica, Hollis & St. Albans"
11435,"Jamaica, Hollis & St. Albans"
11436,"Jamaica, Hollis & St. Albans"
11451,"Jamaica, Hollis & St. Albans"
11691,"Far Rockaway, Breezy Point & Broad Channel"
11692,"Far Rockaway, Breezy Point & Broad Channel"
11693,"Far Rockaway, Breezy Point & Broad Channel"
11694,"Far Rockaway, Breezy Point & Broad Channel"
11697,"Far Rockaway, Breezy Point & Broad Channel"
10301,"Port Richmond, Stapleton & Mariners Harbor"
10302,"Port Richmond, Stapleton & Mariners Harbor"
10303,"Port Richmond, Stapleton & Mariners Harbor"
10304,"Port Richmond, Stapleton & Mariners Harbor"
10305,New Springville & South Beach
10306,New Springville & South Beach
10307,"Tottenville, Great Kills & Annadale"
10308,"Tottenville, Great Kills & Annadale"
10309,"Tottenville, Great Kills & Annadale"
10310,"Port Richmond, Stapleton & Mariners Harbor"
10311,New Springville & South Beach
10312,"Tottenville, Great Kills & Annadale"
10314,New Springville & South Beach
